Date, Reference Ozone Concentration (ppb),Temperature (C),Relative Humidity,Sensor Ozone Signal (1/uV)
8/31/14 6:00,15.73333333,25.1368254,30.4515873,9.605269
8/31/14 6:15,17.66666667,24.75222222,31.57968254,9.590939
8/31/14 6:30,20.6,24.42793651,32.19571429,10.352647
8/31/14 6:45,22,24.28571429,32.68571429,10.189229
8/31/14 7:00,16,23.74285714,33.8,10.057471
8/31/14 7:15,19,23.60531136,33.93058608,10.27088
8/31/14 7:30,19.86666667,23.3315873,34.37190476,10.692464
8/31/14 7:45,18.23076923,23.08424908,34.55776557,10.881002
8/31/14 8:00,19.53846154,22.83644689,35.07985348,10.397623
8/31/14 8:15,20.46666667,22.6652381,35.66380952,10.953474
8/31/14 8:30,22.4,22.46285714,35.68714286,11.344402
8/31/14 8:45,24.13333333,22.4,34.91492063,11.581308
8/31/14 9:00,6.4,22.36063492,36.3247619,9.778205
8/31/14 9:15,5.2,22.03174603,36.96126984,9.028892
8/31/14 9:30,1.2,21.70380952,37.74047619,8.819083
8/31/14 9:45,0.933333333,21.6,38.4068254,8.51524
8/31/14 10:00,3.4,21.55571429,38.26380952,8.817478
8/31/14 10:15,2.066666667,21.5,38.53746032,8.609027
8/31/14 10:30,3.2,21.38047619,38.85063492,8.756811
8/31/14 10:45,5.466666667,21.19809524,38.68809524,9.005789
8/31/14 11:00,3.066666667,21.1,39.52,8.875239
8/31/14 11:15,3.066666667,21.07047619,39.79952381,8.617388
8/31/14 11:30,1.666666667,21.00714286,40.48746032,8.446512
8/31/14 11:45,1.933333333,21.06460317,40.85666667,8.480737
8/31/14 12:00,3.2,21.16761905,40.28555556,8.653014
8/31/14 12:15,11.2,21.19984127,38.56952381,9.463012
8/31/14 12:30,6.266666667,21.3715873,38.40873016,9.666283
8/31/14 12:45,0.6,21.27904762,40.4131746,8.360871
8/31/14 13:00,3.333333333,21.23777778,40.55206349,8.457511
8/31/14 13:15,5.8,21.32333333,38.78269841,9.266614
8/31/14 13:30,7.533333333,21.4768254,38.55619048,9.59766
8/31/14 13:45,10.93333333,22.12952381,38.27777778,9.952764
8/31/14 14:00,17.06666667,23.22714286,39.21460317,10.609097
8/31/14 14:15,17,24.61809524,36.76761905,11.112483
8/31/14 14:30,11.06666667,25.52539683,34.31857143,10.104412
8/31/14 14:45,13.66666667,25.36507937,35.20349206,9.831921
8/31/14 15:00,18.46666667,26.01746032,35.47793651,10.633629
8/31/14 15:15,26.2,27.39825397,32.16793651,12.008692
8/31/14 15:30,30.2,28.4247619,29.77793651,12.926789
8/31/14 15:45,32,29.09222222,28.41984127,13.405111
8/31/14 16:00,33.86666667,30.15492063,27.29650794,13.670095
8/31/14 16:15,35.26666667,30.74793651,25.87190476,14.227964
8/31/14 16:30,35.46666667,31.23761905,25.70571429,14.06721
8/31/14 16:45,38.06666667,32.2284127,24.43349206,14.193345
8/31/14 17:00,39.2,32.87222222,23.83460317,14.866906
8/31/14 17:15,41.06666667,33.70571429,22.55746032,14.847985
8/31/14 17:30,43.8,34.97444444,21.12412698,14.787691
8/31/14 17:45,42.4,36.3468254,20.33603175,13.884604
8/31/14 18:00,46,37.53714286,19.24984127,13.678999
8/31/14 18:15,46.93333333,37.7647619,18.38984127,13.539361
8/31/14 18:30,48.53333333,37.92380952,18.32539683,13.487765
8/31/14 18:45,49.73333333,38.41666667,17.43206349,13.555967
8/31/14 19:00,49.6,37.72015873,18.48190476,13.281332
8/31/14 19:15,51.93333333,38.8147619,17.58126984,13.498457
8/31/14 19:30,51.66666667,39.15809524,17.27126984,13.530347
8/31/14 19:45,53.66666667,39.73269841,16.64730159,13.235572
8/31/14 20:00,52.66666667,39.18428571,17.5047619,12.818426
8/31/14 20:15,53.33333333,39.53190476,16.90460317,13.074608
8/31/14 20:30,50.46666667,40.28238095,16.30015873,12.506948
8/31/14 20:45,52.86666667,40.74920635,15.7684127,12.745296
8/31/14 21:00,51.2,39.50555556,16.68793651,12.264922
8/31/14 21:15,48.66666667,38.47650794,17.43587302,12.464387
8/31/14 21:30,44.46666667,37.04126984,18.45269841,12.406704
8/31/14 21:45,35.15384615,33.84322344,21.603663,11.77587
8/31/14 22:00,36.6,31.0615873,24.54619048,12.156764
8/31/14 22:15,37.8,29.2084127,26.92714286,12.51838
8/31/14 22:30,37,27.90031746,31.19777778,12.091666
8/31/14 22:45,36,27.15111111,32.22587302,12.165685
8/31/14 23:00,31.46666667,26.9447619,32.16333333,11.859716
8/31/14 23:15,34.73333333,26.82174603,31.87825397,11.94494
8/31/14 23:30,35.06666667,27.05888889,31.6068254,12.16827
8/31/14 23:45,29.53333333,27.20095238,31.02396825,11.620829
9/1/14 0:00,28.4,27.28539683,30.87634921,11.357695
9/1/14 0:15,21.66666667,26.96301587,34.67079365,9.77775
9/1/14 0:30,19.4,26.28984127,35.92095238,9.576506
9/1/14 0:45,20,26.15396825,36.70761905,9.417463
9/1/14 1:00,24.8,25.91190476,36.23428571,10.037761
9/1/14 1:15,23,25.57253968,36.07174603,10.358264
9/1/14 1:30,20.6,25.29238095,36.7352381,9.498108
9/1/14 1:45,13.2,25.07809524,37.70349206,8.265981
9/1/14 2:00,5.266666667,24.94793651,39.08269841,7.880418
